Frame,GT objects,reports,Targets,Global Hyp
0,22,12,12,1
1,22,14,14,16
2,22,14,17,24
3,22,13,14,18
4,22,13,15,20
5,22,14,14,6
6,22,12,14,2
7,22,14,16,4
8,22,14,16,4
9,22,15,16,6
10,23,16,20,8
11,23,13,17,64
12,23,15,20,8
13,23,15,16,112
14,23,14,16,28
15,23,12,17,4
16,23,12,18,4
17,23,11,15,32
18,23,9,13,8
19,23,12,14,8
20,23,12,14,2
21,23,13,16,4
22,23,13,17,1
23,23,14,16,1
24,23,12,16,4
25,23,14,19,6
26,23,15,17,3
27,23,11,16,4
28,23,12,18,1
29,23,10,16,4
30,24,10,11,8
31,24,11,14,8
32,24,11,13,24
33,24,14,17,10
34,24,11,12,48
35,24,12,14,14
36,24,13,15,24
37,24,9,13,24
38,24,12,14,32
39,23,10,13,6
40,24,11,13,10
41,24,8,12,8
42,24,10,14,6
43,23,8,9,16
44,23,12,13,20
45,23,11,11,12
46,23,9,11,6
47,23,10,13,18
48,23,10,13,48
49,23,8,11,8
50,25,12,14,4
51,25,8,9,3
52,25,9,10,1
53,25,7,9,1
54,25,9,10,1
55,25,10,10,1
56,24,7,11,2
57,25,4,10,1
58,25,11,13,8
59,25,8,10,6
60,25,6,9,2
61,25,9,11,4
62,25,10,10,4
63,26,7,9,2
64,26,11,12,16
65,26,10,12,6
66,26,11,12,16
67,26,9,10,16
68,26,8,8,12
69,26,8,8,4
70,26,8,9,2
71,26,11,12,2
72,26,7,13,4
