Frame,GT objects,reports,Targets,Global Hyp
0,22,13,13,1
1,22,13,13,1
2,22,13,13,2
3,22,12,13,1
4,22,13,14,1
5,22,13,13,2
6,22,13,13,1
7,22,14,14,1
8,22,15,15,2
9,22,16,16,1
10,23,16,16,1
11,23,16,16,1
12,23,15,16,1
13,23,15,16,1
14,23,16,16,1
15,23,16,16,1
16,23,14,16,1
17,23,15,16,1
18,23,14,16,1
19,23,15,16,2
20,23,14,15,3
21,23,14,14,1
22,23,14,14,1
23,23,14,14,1
24,23,15,15,1
25,23,15,15,1
26,23,15,15,1
27,23,15,16,1
28,23,15,16,1
29,23,15,15,1
30,24,15,15,1
31,24,15,15,1
32,24,14,15,1
33,24,14,15,1
34,24,14,15,1
35,24,15,15,1
36,24,15,15,1
37,24,14,15,1
38,24,14,14,1
39,23,14,14,1
40,24,15,15,1
41,24,14,14,1
42,24,15,15,1
43,23,15,15,1
44,23,16,16,1
45,23,16,16,1
46,23,16,16,1
47,23,16,16,1
48,23,15,16,1
49,23,15,16,1
50,25,15,16,1
51,25,15,15,1
52,25,14,15,1
53,25,14,15,1
54,25,15,16,1
55,25,15,15,1
56,24,15,15,1
57,25,15,15,1
58,25,15,15,1
59,25,14,15,1
60,25,14,15,1
61,25,14,15,1
62,25,14,14,1
63,26,14,14,1
64,26,14,14,1
65,26,14,14,1
66,26,15,15,1
67,26,16,16,1
68,26,15,15,2
69,26,15,15,1
70,26,15,15,1
71,26,15,15,1
72,26,15,15,1
73,26,15,15,1
74,26,15,15,1
75,26,14,15,1
76,26,14,15,1
77,26,14,15,1
78,26,14,14,1
79,26,17,17,1
80,25,14,15,1
81,25,14,15,1
82,25,15,16,2
83,25,15,15,4
84,25,13,15,3
85,25,14,15,3
86,25,14,14,2
87,25,14,15,1
88,25,14,15,2
89,25,13,13,4
90,26,13,13,1
91,26,13,13,1
92,26,13,13,1
93,26,13,13,1
94,26,13,13,1
95,26,12,13,1
96,26,11,13,2
97,26,11,13,4
98,26,12,12,5
99,26,12,12,1
100,26,12,12,1
101,26,13,13,1
102,26,13,13,1
103,26,13,13,1
104,26,12,13,1
105,26,12,13,2
106,26,12,12,5
107,26,12,12,1
108,26,12,12,1
109,26,12,12,1
110,27,12,12,1
111,28,13,13,1
112,28,12,12,1
113,28,12,12,1
114,28,13,13,1
115,28,12,12,1
116,28,14,14,1
117,28,12,13,2
118,28,13,14,3
119,28,12,13,5
120,28,12,12,2
121,29,12,12,2
122,29,12,12,2
123,29,12,12,2
124,29,12,12,2
125,29,12,12,2
126,29,12,12,2
127,29,12,12,2
128,29,12,12,2
129,29,12,12,2
130,29,12,12,2
131,29,12,12,2
132,29,12,12,2
133,29,12,12,2
134,29,13,13,2
135,29,13,13,2
136,29,13,14,2
137,29,13,13,4
138,29,13,13,2
139,30,13,13,2
140,30,13,13,2
141,30,13,13,2
142,30,14,14,4
143,30,14,14,4
144,30,15,15,7
145,31,14,14,8
146,31,14,14,3
147,31,14,15,3
148,31,13,15,4
149,31,14,15,4
150,30,14,14,8
151,30,14,14,4
152,30,13,14,4
153,30,13,14,5
154,30,13,14,6
155,30,14,14,4
156,30,13,14,5
157,30,13,13,2
158,30,12,13,1
159,30,12,13,1
160,30,12,13,2
161,30,12,12,4
162,30,13,13,1
163,30,13,13,1
164,30,13,13,1
165,30,12,13,1
166,30,12,13,1
167,30,12,13,2
168,30,13,13,6
169,30,12,12,4
170,30,12,13,3
171,30,12,13,3
172,30,14,15,3
173,30,13,14,12
174,30,15,15,6
175,30,14,15,12
176,30,15,15,4
177,30,14,16,56
178,30,15,17,64
179,30,15,16,160
180,30,16,16,64
181,30,13,15,45
182,30,13,15,18
183,30,13,15,17
184,30,13,14,6
185,30,14,15,4
186,30,14,14,9
187,30,14,14,1
188,30,14,14,1
189,30,16,16,2
190,30,17,17,4
191,30,17,17,4
192,30,16,17,4
193,30,17,17,6
194,30,17,17,6
195,30,17,17,6
196,30,16,18,24
197,30,15,18,70
198,31,16,19,640
199,31,15,16,384
200,31,16,17,18
201,31,16,18,156
202,31,17,18,168
203,31,16,18,26
204,31,17,18,48
205,31,18,18,18
206,30,14,17,8
207,31,15,17,6
208,32,15,17,6
209,32,14,15,20
210,33,14,16,42
211,33,14,16,90
212,33,14,14,30
213,33,14,14,2
214,33,14,14,8
215,33,14,14,3
216,33,13,14,4
217,33,13,15,15
218,33,13,14,20
219,33,13,14,8
220,33,12,14,16
221,33,13,14,21
222,33,13,13,10
223,33,13,14,2
224,33,13,15,4
225,33,13,15,12
226,33,13,15,24
227,33,12,14,30
228,33,13,15,6
229,33,12,14,5
230,34,14,14,3
231,34,12,13,4
232,33,12,14,7
233,33,12,14,6
234,33,12,13,6
235,33,11,12,4
236,33,13,14,4
237,33,12,13,5
238,33,13,13,6
239,33,14,14,1
240,33,13,14,2
241,33,13,13,10
242,33,14,14,1
243,33,13,14,1
244,33,13,14,1
245,33,12,14,1
246,33,12,13,4
247,33,12,13,5
248,33,13,13,6
249,34,12,12,3
250,34,13,13,1
251,34,15,15,2
252,34,16,16,2
253,34,17,17,6
254,34,16,17,12
255,34,17,18,36
256,34,14,17,81
257,34,17,17,36
258,34,15,17,20
259,34,15,17,32
260,34,14,16,72
261,34,15,16,18
262,34,15,17,30
263,34,14,16,60
264,34,14,15,120
265,34,14,15,22
266,34,15,15,16
267,34,15,15,4
268,34,15,15,2
269,34,14,15,2
270,34,14,15,8
271,34,12,15,4
272,34,12,14,8
273,34,12,14,16
274,34,13,13,20
275,34,12,12,5
276,34,13,13,2
277,34,13,13,2
278,34,14,14,4
279,34,14,14,6
280,33,14,14,6
281,33,13,14,10
282,33,13,15,22
283,33,11,13,39
284,33,14,15,16
285,33,14,14,16
286,33,15,15,20
287,33,15,15,14
288,33,15,15,6
289,33,15,15,7
290,33,16,16,7
291,33,18,18,7
292,33,18,18,7
293,33,18,18,7
294,33,17,18,11
295,33,14,18,30
296,33,14,18,38
297,33,15,17,15
298,33,15,15,15
299,33,15,16,16
300,33,14,15,48
301,33,15,16,20
302,34,15,15,20
303,34,15,16,5
304,34,15,15,10
305,34,16,16,6
306,33,16,16,12
307,33,16,16,6
308,33,18,18,11
309,33,17,17,17
310,34,16,17,8
311,34,17,17,5
312,34,16,17,6
313,34,15,17,7
314,34,16,18,9
315,33,16,16,11
316,33,16,16,7
317,33,16,16,1
318,33,16,16,1
319,33,17,17,2
320,33,15,17,2
321,33,15,18,4
322,33,15,18,6
323,33,15,16,6
324,33,15,15,1
325,33,15,15,1
326,33,15,15,1
327,33,14,15,1
328,33,14,15,1
329,33,14,16,1
330,33,15,16,2
331,33,16,17,3
332,33,15,15,2
333,33,17,17,2
334,34,15,16,3
335,34,15,16,1
336,33,15,16,1
337,33,14,15,1
338,33,14,15,1
339,33,13,15,3
340,33,14,15,10
341,33,15,15,4
342,33,15,15,4
343,33,14,15,4
344,33,13,15,8
345,33,13,15,16
346,33,12,14,15
347,33,12,13,24
348,33,12,13,6
349,34,14,14,2
350,34,14,14,2
351,34,16,16,4
352,35,14,15,9
353,35,15,16,10
354,35,16,17,21
355,35,16,16,18
356,35,15,16,8
357,35,17,17,15
358,35,15,16,12
359,35,14,17,12
360,35,13,15,6
361,35,13,14,3
362,35,14,15,2
363,35,13,13,4
364,35,14,14,1
365,35,14,14,1
366,35,15,15,3
367,35,14,14,4
368,35,13,15,6
369,35,13,15,20
370,36,13,15,20
371,36,12,13,2
372,36,12,13,1
373,35,11,13,1
374,35,12,13,1
375,35,11,14,2
376,34,11,13,2
377,34,9,13,1
378,34,9,12,1
379,34,10,12,2
380,34,10,10,2
381,34,11,11,1
382,35,11,11,1
383,35,10,11,1
384,35,10,11,1
385,35,10,11,1
386,35,11,11,2
387,35,11,11,1
388,35,11,11,2
389,35,13,13,2
390,35,12,12,5
391,35,12,12,7
392,35,11,12,8
393,35,11,12,15
394,35,11,12,6
395,35,11,12,5
396,35,11,12,3
397,35,10,12,5
398,35,11,12,2
399,35,11,12,4
400,35,11,11,3
401,35,10,11,2
402,35,9,11,2
403,35,9,11,2
404,35,9,10,2
405,35,9,9,1
406,35,10,10,1
407,35,11,11,1
408,35,11,11,1
409,35,10,11,2
410,35,10,11,1
411,35,10,10,1
412,35,10,10,1
413,35,10,10,1
414,34,11,11,1
415,34,11,11,1
416,34,9,11,1
417,34,9,12,1
418,34,7,11,1
419,34,7,9,2
420,34,8,9,1
421,34,8,8,1
422,34,8,8,1
423,34,8,8,1
424,34,8,8,2
425,35,8,8,1
426,35,8,8,1
427,35,8,8,1
428,35,9,9,2
429,35,10,10,2
430,35,10,10,2
431,35,10,10,1
432,35,9,10,2
433,35,9,10,4
434,35,9,9,6
435,35,8,9,1
436,35,8,9,1
437,35,8,9,1
438,35,8,9,1
439,35,8,10,1
440,35,9,10,2
441,35,7,10,3
442,34,9,9,1
443,34,9,9,2
444,34,9,10,1
445,34,9,11,1
