Frame,GT objects,reports,Targets,Global Hyp
0,42,36,36,1
1,42,37,37,2
2,42,37,37,2
3,42,35,37,3
4,42,35,35,2
5,42,33,35,2
6,42,34,35,1
7,42,34,35,1
8,42,34,34,2
9,42,35,35,1
10,42,34,35,1
11,42,34,35,1
12,42,31,35,2
13,42,34,35,1
14,42,34,34,1
15,42,32,35,1
16,42,32,35,1
17,42,33,35,2
18,43,32,35,2
19,43,32,35,2
20,43,31,33,1
21,43,31,33,4
22,43,30,32,4
23,43,30,31,1
24,43,30,32,2
25,43,29,30,16
26,43,30,31,4
27,43,31,31,4
28,43,31,32,8
29,43,31,31,6
30,42,31,32,2
31,42,30,30,3
32,42,30,30,1
33,42,31,31,1
34,42,31,31,2
35,42,30,30,1
36,42,30,30,2
37,42,30,30,1
38,42,30,30,2
39,42,29,30,1
40,42,29,30,1
41,42,29,30,1
42,42,29,29,3
43,42,29,29,2
44,41,29,29,1
45,41,30,30,2
46,41,30,30,1
47,41,30,31,1
48,41,30,30,1
49,41,30,30,1
50,41,30,30,1
51,41,30,30,1
52,41,29,30,1
