Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,22,21,21,0,21,5,1
1,22,19,19,3,19,2,8
2,22,19,21,5,21,4,16
3,22,21,21,10,21,0,16
4,22,18,20,0,20,1,12
5,22,21,21,0,21,1,8
6,22,19,22,29,22,12,24
7,22,19,20,0,20,3,12
8,22,20,22,0,22,0,2
9,22,23,25,1,25,49,3
10,23,20,24,5,24,0,10
11,23,22,24,37,24,3,10
12,23,22,24,3,24,4,15
13,23,21,23,55,23,0,8
14,23,22,25,0,25,66,5
15,23,23,26,3,26,4,12
16,23,19,24,3,24,1,12
17,23,20,22,10,22,3,10
18,23,19,24,12,24,98,6
19,23,19,19,1,19,3,2
20,23,19,22,3,22,92,2
21,23,20,20,3,20,0,8
22,23,20,21,3,21,12,8
23,23,21,22,0,22,4,16
24,23,21,22,44,22,49,24
25,23,18,22,44,22,3,4
26,23,22,24,44,24,3,32
27,23,24,24,49,24,3,16
28,23,22,25,3,25,0,32
29,23,24,26,0,26,0,16
30,24,22,23,4,23,68,144
31,24,21,24,0,24,1,4
32,24,22,25,156,25,1,4
33,24,24,25,0,25,0,8
34,24,21,26,150,26,4,8
35,24,21,25,3,25,5,32
36,24,23,25,10,25,0,48
37,24,21,25,162,25,5,320
38,24,20,23,10,23,162,80
39,23,20,24,0,24,68,120
40,24,20,21,68,21,215,40
41,24,21,23,162,23,195,4
42,24,21,23,5,23,0,64
43,23,22,24,12,24,245,96
44,23,22,24,0,24,218,128
45,23,20,24,254,24,0,288
46,23,21,22,12,22,1,8
47,23,21,24,162,24,12,8
48,23,21,22,4,22,207,80
49,23,21,21,89,21,218,8
50,25,23,24,252,24,266,8
51,25,22,23,0,23,4,54
52,25,22,22,162,22,0,1
53,25,20,23,0,23,12,2
54,25,20,22,226,22,0,4
55,25,21,22,12,22,3,4
56,24,23,25,291,25,279,16
57,25,22,23,0,23,4,24
58,25,21,23,0,23,4,4
59,25,21,22,0,22,195,4
60,25,23,23,323,23,0,8
61,25,23,23,68,23,276,8
62,25,24,25,291,25,162,16
63,26,23,26,1,26,326,16
64,26,23,27,234,27,338,48
65,26,22,24,276,24,3,156
66,26,21,22,4,22,4,9
67,26,23,24,0,24,3,2
68,26,22,22,162,22,3,4
69,26,21,22,266,22,1,2
70,26,21,23,3,23,330,2
71,26,23,23,321,23,1,2
72,26,20,24,49,24,0,2
73,26,19,23,324,23,4,4
74,26,20,23,4,23,68,4
75,26,20,21,321,21,162,2
76,26,19,19,3,19,1,2
77,26,18,20,321,20,3,4
78,26,18,21,150,21,4,4
79,26,22,23,426,23,321,4
80,25,21,23,0,23,150,4
81,25,19,23,4,23,378,4
82,25,17,22,324,22,0,6
83,25,21,26,276,26,416,2
84,25,16,18,0,18,1,4
85,25,18,18,432,18,432,8
86,25,17,18,0,18,326,24
87,25,19,20,0,20,3,24
88,25,15,17,3,17,0,24
89,25,20,20,1,20,3,8
90,26,22,23,0,23,0,16
91,26,19,22,418,22,448,16
92,26,19,21,0,21,0,104
93,26,20,22,330,22,330,15
94,26,19,22,330,22,330,24
95,26,18,21,0,21,324,10
96,26,19,21,0,21,1,11
97,26,20,23,68,23,326,4
98,26,22,23,0,23,321,32
