Frame,GT objects,Reports,Targets,Global Hypotheses
0,42,26,26,1
1,42,26,26,1
2,42,26,26,1
3,42,27,27,1
4,42,25,27,1
5,42,25,27,1
6,42,24,27,2
7,42,26,27,1
8,42,23,27,2
9,42,23,25,4
10,42,24,25,1
11,42,24,24,1
12,42,24,24,1
13,42,26,26,1
14,42,26,26,1
15,42,24,26,1
16,42,24,25,1
17,42,25,26,1
18,43,24,25,1
19,43,24,25,1
20,43,24,25,2
21,43,23,24,3
22,43,24,24,1
23,43,23,24,1
24,43,23,24,1
25,43,23,24,1
26,43,23,23,1
27,43,24,24,1
28,43,24,24,1
29,43,24,24,1
30,42,24,24,1
31,42,24,24,1
32,42,24,24,1
33,42,24,24,1
34,42,24,24,1
35,42,25,25,1
36,42,25,25,1
37,42,26,27,1
38,42,24,27,1
39,42,25,27,2
40,42,25,27,4
41,42,25,25,1
42,42,26,26,1
43,42,26,26,1
44,41,26,26,1
45,41,26,26,1
46,41,26,26,1
47,41,26,26,1
48,41,26,26,1
49,41,25,26,1
50,41,26,27,1
51,41,25,27,1
52,41,25,26,1
53,41,25,26,2
54,41,25,25,3
55,41,26,26,1
56,41,26,26,1
57,41,27,27,1
58,41,27,27,1
59,41,28,28,1
60,41,29,29,1
61,41,28,28,2
62,41,28,28,1
63,41,27,28,1
64,41,28,29,1
65,41,28,29,1
66,41,27,29,2
67,41,27,28,4
68,41,27,29,1
69,41,27,28,1
70,42,27,28,1
71,41,27,27,1
72,41,27,27,1
73,41,27,27,1
74,41,27,27,1
75,41,28,28,1
76,41,28,28,1
77,41,28,28,1
78,41,28,28,1
79,41,28,28,1
80,40,28,28,1
81,40,28,28,1
82,40,28,28,1
83,40,29,29,1
84,40,29,29,1
85,40,28,29,1
86,40,30,30,1
87,40,30,30,1
88,40,30,30,1
89,40,29,30,1
90,40,29,30,1
91,40,29,30,1
92,40,29,29,2
93,40,29,29,1
94,40,28,29,1
95,40,28,29,1
96,40,28,29,1
97,40,29,29,1
98,40,28,28,1
99,40,28,28,1
100,40,28,28,1
101,40,29,29,1
102,40,29,29,1
103,40,29,29,1
104,40,29,29,1
105,40,29,29,1
106,40,29,29,1
107,40,29,29,1
108,40,28,29,1
109,40,27,29,1
110,41,27,29,1
111,41,27,29,1
112,41,26,28,2
113,41,27,27,4
114,41,26,27,1
115,41,26,27,1
116,41,26,27,1
117,41,26,26,1
118,41,26,26,1
119,41,26,26,1
120,41,26,26,1
121,41,26,26,1
122,41,26,26,1
123,41,27,27,1
124,41,27,27,1
125,41,26,27,1
126,41,26,27,1
127,41,26,27,1
128,41,27,27,1
129,41,27,27,1
130,40,27,27,1
131,40,26,27,1
132,40,27,27,1
133,40,27,27,1
134,40,28,28,1
135,40,28,28,1
136,40,28,28,1
137,40,27,28,1
138,40,27,28,1
139,40,27,28,1
140,40,27,27,1
141,40,27,27,1
142,40,27,27,1
143,40,27,27,1
144,40,27,27,1
145,40,28,28,1
146,40,28,28,1
147,40,28,28,1
148,40,28,28,1
149,40,27,28,1
150,40,28,28,1
151,40,28,28,1
152,40,28,28,1
153,40,28,28,1
154,40,28,28,1
155,40,28,28,1
156,40,28,28,1
157,40,29,29,1
158,40,29,29,1
159,40,29,29,1
160,40,30,30,1
161,40,30,30,1
162,40,30,30,1
163,40,30,30,1
164,40,30,30,1
165,40,30,30,1
166,40,29,30,1
167,41,28,30,1
168,41,28,30,1
169,41,28,29,1
170,41,28,28,1
171,41,29,29,1
172,41,29,29,1
173,41,29,29,1
174,41,28,29,1
175,41,28,29,1
176,41,28,29,1
177,41,27,28,1
178,41,27,28,1
179,41,27,28,1
180,41,27,27,1
181,41,27,27,1
182,41,27,27,1
183,41,27,27,1
184,41,27,27,1
185,41,28,28,1
186,41,28,28,1
187,41,27,28,1
188,41,27,28,1
189,41,27,28,1
190,41,26,27,1
191,41,26,27,1
192,41,26,27,1
193,41,26,26,1
194,41,26,26,1
195,41,26,26,1
196,41,26,26,1
197,41,25,26,1
198,41,25,26,1
199,42,25,26,1
200,42,25,25,1
201,42,25,25,1
202,42,26,26,1
203,42,26,26,1
204,42,28,28,1
205,42,28,28,1
206,42,28,29,1
207,42,28,28,1
208,42,28,28,1
209,42,29,29,1
210,42,29,29,1
211,42,28,29,1
212,42,28,28,1
213,42,28,29,1
214,42,28,29,1
215,42,27,29,1
216,42,28,28,1
217,42,27,28,1
218,42,29,30,1
219,42,28,29,1
220,42,28,29,1
221,42,27,28,1
222,42,27,28,1
223,42,27,28,1
224,42,27,27,2
225,42,27,27,1
226,42,27,27,1
227,42,27,27,1
228,42,27,27,1
229,43,26,27,1
230,43,26,27,2
231,43,26,27,4
232,43,26,26,5
233,43,26,26,1
234,43,26,26,1
235,43,26,26,1
236,43,26,26,1
237,43,27,27,1
238,43,26,27,2
239,43,27,27,2
240,43,26,27,1
241,43,27,27,1
242,43,28,28,1
243,43,28,28,1
244,43,27,28,1
245,43,27,28,1
246,44,27,28,1
247,44,27,27,1
248,44,28,28,1
249,44,28,28,1
250,44,28,28,1
251,44,28,28,1
252,44,29,29,1
253,44,29,29,1
254,44,29,29,1
255,44,29,29,1
256,44,29,29,1
257,45,29,29,1
258,45,30,30,1
259,45,30,30,1
260,45,30,30,1
261,45,30,30,1
262,45,30,30,1
263,45,30,30,1
264,45,30,30,1
265,45,30,30,1
266,46,30,30,1
267,46,30,30,1
268,46,30,30,1
