Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,22,12,12,2,12,1,1
1,22,15,15,7,15,3,24
2,21,14,15,1,15,5,80
3,21,16,16,12,16,9,128
4,21,15,18,17,18,16,640
5,21,16,20,21,20,17,288
6,21,15,21,2,21,24,192
7,21,14,24,25,24,2,320
8,21,16,18,31,18,20,2592
9,21,11,17,40,17,37,1728
10,21,11,14,32,14,16,36
11,20,11,14,46,14,46,48
12,21,12,14,5,14,48,90
13,21,13,16,20,16,48,48
14,22,8,13,33,13,48,432
15,23,11,15,45,15,40,144
16,23,10,13,40,13,5,288
17,24,7,12,49,12,65,48
18,24,7,10,45,10,50,24
19,24,5,7,52,7,33,12
20,23,8,11,69,11,52,4
21,22,6,6,5,6,70,6
22,22,6,7,43,7,70,6
23,22,8,9,80,9,62,2
24,22,6,7,5,7,33,3
25,23,8,10,5,10,71,2
26,23,8,8,49,8,81,4
27,23,10,11,79,11,49,6
28,23,6,7,80,7,89,4
29,22,8,8,5,8,5,4
30,23,5,9,79,9,89,6
31,23,7,9,80,9,72,16
32,23,7,9,79,9,72,16
33,22,9,9,91,9,5,8
34,22,11,12,97,12,96,12
35,22,10,13,33,13,100,20
36,21,8,11,102,11,33,40
37,21,8,11,79,11,79,22
38,21,7,11,64,11,49,224
39,22,7,9,79,9,79,16
40,22,11,12,5,12,64,12
41,22,9,10,5,10,97,24
42,23,7,10,91,10,110,16
43,23,5,8,112,8,112,2
44,24,8,11,79,11,110,4
45,23,11,11,94,11,94,12
46,23,11,12,117,12,33,54
47,23,9,11,79,11,117,18
48,23,13,14,105,14,97,32
49,22,12,13,97,13,97,16
50,22,11,14,117,14,77,12
51,22,10,13,109,13,130,36
52,23,9,12,109,12,109,20
53,23,12,13,77,13,33,12
54,23,10,12,131,12,33,24
55,23,13,14,135,14,5,24
56,23,9,13,109,13,117,32
57,25,10,13,117,13,87,12
58,25,11,14,77,14,123,16
59,25,9,10,117,10,145,24
60,25,8,11,131,11,79,8
61,25,13,13,33,13,109,4
62,25,14,18,5,18,5,48
63,25,9,11,49,11,122,24
64,25,11,13,117,13,109,6
65,27,14,17,109,17,79,12
66,27,14,16,157,16,109,32
67,27,12,16,33,16,173,60
68,27,15,17,131,17,173,54
69,27,12,15,79,15,151,6
70,27,12,14,109,14,151,12
71,27,12,15,173,15,33,4
72,26,13,15,131,15,33,4
73,27,13,16,117,16,5,12
74,27,11,14,117,14,131,8
75,28,13,15,155,15,155,8
76,28,14,18,174,18,155,18
77,28,13,15,193,15,79,48
78,28,14,14,5,14,79,8
79,28,13,15,109,15,49,2
80,28,10,15,195,15,196,6
81,28,11,14,33,14,193,8
82,28,12,17,5,17,49,8
83,29,13,16,131,16,195,16
84,30,11,14,5,14,216,6
85,30,15,17,223,17,174,4
86,30,13,14,173,14,195,9
87,30,14,16,151,16,109,2
88,30,10,15,173,15,172,4
89,30,14,17,131,17,234,16
90,30,15,19,212,19,230,16
91,30,12,17,237,17,109,144
92,30,15,16,192,16,49,192
93,30,12,14,240,14,151,36
94,30,15,17,229,17,240,18
95,30,15,16,249,16,33,48
96,31,12,15,249,15,249,4
97,31,20,24,260,24,245,36
98,31,16,20,244,20,264,15
