Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,22,18,18,1,18,3,1
1,22,23,23,4,23,0,64
2,21,21,22,4,22,1,768
3,21,19,20,2,20,1,144
4,21,19,23,2,23,33,1296
5,21,20,26,17,26,2,5184
6,21,19,23,21,23,17,360
7,21,22,23,4,23,26,32256
8,21,19,21,36,21,5,9072
9,21,22,28,41,28,33,11520
10,21,21,24,43,24,36,3600
11,20,20,21,5,21,2,216
12,21,18,22,40,22,43,384
13,21,21,21,4,21,2,1536
14,22,23,24,73,24,0,512
15,23,22,23,1,23,1,360
16,23,20,23,1,23,36,480
17,24,21,23,36,23,5,96
18,24,20,23,55,23,2,168
19,24,23,24,36,24,73,9000
20,23,23,23,80,23,33,2016
21,22,22,25,1,25,73,1512
22,22,20,24,80,24,36,540
23,22,21,26,1,26,5,768
24,22,18,25,5,25,2,3456
25,23,19,25,113,25,4,432
26,23,19,22,90,22,116,960
27,23,20,22,116,22,26,192
28,23,18,21,98,21,113,480
29,22,18,20,110,20,5,96
30,23,19,25,36,25,98,192
31,23,23,26,1,26,33,1728
32,23,19,23,49,23,115,3200
33,22,18,23,114,23,33,60
34,22,17,24,114,24,4,48
35,22,18,22,135,22,155,24
36,21,19,23,124,23,98,288
37,21,18,20,113,20,155,42
38,21,21,23,36,23,1,160
39,22,22,23,4,23,38,432
40,22,21,21,135,21,98,24
41,22,21,21,5,21,5,12
42,23,23,24,4,24,115,8
43,23,20,22,1,22,129,18
44,24,23,25,115,25,130,8
45,23,21,24,153,24,38,48
46,23,22,25,115,25,124,192
47,23,24,27,38,27,149,168
48,23,24,25,98,25,115,48
49,22,22,25,193,25,129,4
50,22,19,24,1,24,170,18
51,22,22,26,185,26,185,4
52,23,19,22,115,22,149,12
53,23,18,21,193,21,226,36
54,23,20,22,1,22,130,96
55,23,23,23,98,23,185,140
56,23,19,23,129,23,5,144
57,25,18,22,38,22,4,22
58,25,21,25,36,25,5,12
59,25,19,22,243,22,4,32
60,25,21,24,115,24,253,16
61,25,27,30,237,30,98,576
62,25,26,30,237,30,38,60480
63,25,26,27,270,27,1,576
64,25,26,27,36,27,243,72
65,27,26,31,130,31,279,192
66,27,25,30,5,30,267,3456
67,27,24,28,262,28,253,1600
68,27,28,29,285,29,1,6144
69,27,28,28,253,28,284,2304
70,27,24,29,271,29,244,1152
71,27,23,27,307,27,307,1152
72,26,23,28,36,28,305,360
73,27,21,23,130,23,113,2184
74,27,22,25,38,25,262,384
75,28,21,23,1,23,267,800
76,28,22,25,38,25,36,288
77,28,26,27,130,27,289,6720
78,28,25,27,38,27,227,1728
79,28,24,26,271,26,1,3584
80,28,23,26,38,26,262,6144
81,28,24,27,38,27,317,960
82,28,23,24,115,24,262,400
83,29,24,25,358,25,130,66
84,30,24,26,316,26,329,48
85,30,27,29,1,29,358,960
86,30,27,31,5,31,5,800
87,30,30,35,359,35,359,13440
88,30,28,31,315,31,366,9072
89,30,23,30,338,30,38,480
90,30,24,28,262,28,352,384
91,30,21,27,352,27,356,1296
92,30,24,28,338,28,130,7680
93,30,23,27,234,27,234,1680
94,30,27,31,387,31,363,5376
95,30,28,30,130,30,416,7560
96,31,25,28,49,28,317,300
97,31,23,28,377,28,1,36
98,31,27,30,384,30,36,72
